empresa	3	el trabajó en una empresa de bolsa	n	spa-30-08059870-n
banco	1	ese banco tiene la hipoteca de mi casa	n	spa-30-08420278-n
banco	1	cobró un cheque en el banco	n	spa-30-08420278-n
tienda	1	Ana se ha comprado un vestido en la tienda de la esquina.	n	spa-30-04202417-n
asma del hemo	1	En 1850, el Dr. Green publicó un artículo en la revista Lancet en el cual niega la relación del "asma del heno" con el heno.	n	spa-30-15300823-n
asma_del_heno	1	En 1850, un artículo en la revista Lancet niega la relación del asma del heno con el heno.	n	spa-30-80000773-n
categoría	1	Maxi Rolón juega en la categoria cadete del FC Barcelona	n	spa-30-08239808-n
experiencia	2	Él tuvo una experiencia religiosa	n	spa-30-05984584-n
experiencia	1	Es un hombre de experiencia 	n	spa-30-05758059-n
referéndum	1	Cataluña votó 'si' en el referéndum sobre el Estatut de Autonomía	n	spa-30-00181640-n
bronquial	1	Las arterias bronquiales son arterias de origen variable, aunque casi siempre en la porción más elevada de la aorta torácica	a	spa-30-02948482-a
hepático	1	El tejido hepático es un tejido estable.	a	spa-30-02740380-a
hogar	7	un hogar para la gente mayor	n	spa-30-03528100-n
dato_informático	1	La pena será de un mes a un año de prisión cuando el acceso fuese en perjuicio de un sistema o dato informático de un organismo público estatal.	n	spa-30-80000772-n
grupo	1	 Hubo una protesta de un grupo de estudiantes	n	spa-30-00031264-n
jurisprudencia	1	La jurisprudencia civil del Tribunal Supremo	n	spa-30-08441203-n
colección	1	Es una colección de cuentos cortos para la educación en valores	n	spa-30-07951464-n
derecho_administrativo	1	El derecho administrativo forma parte del derecho público	n	spa-30-08453108-n
ley_del_mercado_de_valores	1	La Comisión Nacional del Mercado de los Valores fue creada por la Ley 24/1988, del Mercado de Valores	n	spa-30-08456474-n
sharía	1	El norte de Sudán aplicará la sharía	n	spa-30-08455829-n
derecho_militar	1	En derecho militar la deserción es un delicto	n	spa-30-08455271-n
derecho_mercantil	1	El derecho mercantil define el acto de comercio	n	spa-30-08455037-n
ley_marcial	1	El primer ministro decretará la ley marcial	n	spa-30-08454818-n
derecho_internacional	1	El Tribunal de la Haya dictamina sobre cuestiones de derecho intenacional	n	spa-30-08454003-n
derecho_del_mar	1	A la luz del derecho del mar el secuestro merece el reproche jurídico	n	spa-30-08454191-n
derecho_interno	1	El Tractado de la Unión Europea, ractificado por España, forma parte del derecho interno español	n	spa-30-08453464-n
legislación_delegada	1	Los decretos legislativos forman parte de la legislación delegada	n	spa-30-06535476-n
ley_de_prevención_de_riesgos_laborales	1	Los sindicatos exigen el cumplimento de la Ley de Prevención de Riesgos Laborales	n	spa-30-06535652-n
derecho_canónico	1	La propiedad de las obras era una cuestión de derecho canónico y no de derecho civil	n	spa-30-08453299-n
derecho_tributario	1	La Agencia Tributaria es el órgano del derecho tributario	n	spa-30-08456619-n
documento_jurídico	1	El contrato de arrendamiento es un documento jurídico	n	spa-30-06479665-n
ley	3	El Congreso aprobó la ley de reforma universitaria	n	spa-30-06532330-n
ley_sobre_drogas	1	Galicia incluye el tabaco y alcohol en la ley sobre drogas	n	spa-30-06532910-n
