medicina	1	L'objectiu és l'exercici de la medicina en el sistema sanitari públic i privat un cop acabada la formació especialitzada corresponent.	n	cat-30-06043075-n
vida	8	vida extraterrestre	n	cat-30-00006269-n
dòlar	3	adora el totpoderós dòlar	n	cat-30-06821581-n
abandonament	1	l'abandonament de la seva dona i fills els va deixar sense un cèntim	n	cat-30-00055315-n
abast	1	fora de l'abast de la llei	n	cat-30-05125377-n
absolut	1	la veritat absoluta	a	cat-30-00005205-a
absolut	2	la veritat absoluta	a	cat-30-00522885-a
absolut	5	monarquia absoluta	a	cat-30-00719328-a
abstrusitat	1	l'antropòleg estava impressionat per l'abstrusitat dels proverbis nadius	n	cat-30-05926358-n
acabament	2	l'acabament del període de garantia	n	cat-30-15266911-n
acceptació	2	l'acceptació de la mecànica de Newton no es va qüestionar durant 200 anys	n	cat-30-06193727-n
accés	6	té accés als cercles més selectes de la ciutat	n	cat-30-00049789-n
accident	1	l'accident va acabar amb la vida de tres persones	n	cat-30-07301336-n
accident	2	la marca del gènere és un tipus d'accident	n	cat-30-13803782-n
acció	5	les seves novel·les sempre tenen molta acció	n	cat-30-06373513-n
acció	7	un home d'acció	n	cat-30-04835950-n
acompliment	2	la victòria va ser l'acompliment d'un any de treball	n	cat-30-00061917-n
acord	2	l'acord afavoria als republicans	n	cat-30-05795044-n
acord	3	després de les negociacions van firmar l'acord	n	cat-30-06770275-n
acord	4	va tocar tota la cançó amb l'acord de sol	n	cat-30-06869951-n
acte	1	existien històries d'assassinats i d'altres actes antinaturals	n	cat-30-00037396-n
acte	3	l'obra es composava de tres actes curts	n	cat-30-07009640-n
acte	5	l'acte de recordar	n	cat-30-05701363-n
actitud	2	adoptà una actitud de rendició	n	cat-30-05079866-n
actiu	10	encara que ja ha passat l'edat per retirar-se continua actiu en la seva professió	a	cat-30-00034710-a
actiu	12	una nova unitat en actiu	a	cat-30-00034924-a
actiu	1	una nova unitat en actiu	a	cat-30-01660444-a
actiu	4	un nen molt actiu	a	cat-30-00031974-a
activitat	1	Evitaven qualsevol tipus d'activitat recreativa	n	cat-30-00407535-n
activitat	2	l'activitat volcànica	n	cat-30-14006945-n
activitat	3	activitat nuclear	n	cat-30-14531203-n
activitat	4	l'activitat disminueix amb l'edat	n	cat-30-04635104-n
actor	1	el personantge va ser interpretat per un brillant actor	n	cat-30-09765278-n
actor	2	l'actor va iniciar el procés exercint una acció legal	n	cat-30-10437852-n
actriu	1	li van donar el premi a la millor actriu de l'any	n	cat-30-09767700-n
actuació	1	l'actucació del president no va ser adecuada	n	cat-30-01220984-n
actuació	3	l'actuació va durar més de quatre hores	n	cat-30-00550771-n
actuació	4	el van felicitar per la seva actuació en el recital	n	cat-30-00548326-n
actual	1	els problemes actuals de la societat	a	cat-30-01731351-a
actual	2	els problemes actuals de la societat	a	cat-30-01732131-a
actual	3	els problemes actuals de la societat	a	cat-30-00666610-a
actuar	1	no actuïs com un boig	v	cat-30-00010435-v
actuar	2	no hem d'actuar precipitadament	v	cat-30-02367363-v
actuar	3	en qualitat de què actues?	v	cat-30-01095899-v
actuar	4	actua en aquesta obra	v	cat-30-01719921-v
acusat	1	L'acusat va començar a plorar durant la seva declaració	n	cat-30-09762101-n
adaptació	1	l'obra és una adaptació d'una novel·la curta	n	cat-30-06408779-n
